comment_id	label	confidence
1419	NO	[0.8, 0.1, 0.1, 0.0]
36302	NO	[0.8, 0.1, 0.1, 0.0]
41781	NO	[1.0, 0.0, 0.0, 0.0]
49308	NO	[0.9, 0.1, 0.0, 0.0]
50688	NO	[0.9, 0.1, 0.0, 0.0]
45162	OFP	[0.0, 0.1, 0.9, 0.0]
7124	NO	[1.0, 0.0, 0.0, 0.0]
52361	NO	[1.0, 0.0, 0.0, 0.0]
11412	NO	[1.0, 0.0, 0.0, 0.0]
20027	NO	[1.0, 0.0, 0.0, 0.0]
52877	NO	[1.0, 0.0, 0.0, 0.0]
8639	NO	[1.0, 0.0, 0.0, 0.0]
41480	NO	[0.7, 0.1, 0.2, 0.0]
21660	NO	[1.0, 0.0, 0.0, 0.0]
53938	NO	[0.9, 0.0, 0.1, 0.0]
14937	NO	[0.8, 0.2, 0.0, 0.0]
49037	OFP	[0.4, 0.0, 0.6, 0.0]
10118	NO	[1.0, 0.0, 0.0, 0.0]
12103	NO	[0.7, 0.1, 0.2, 0.0]
10544	OFP	[0.0, 0.0, 0.9, 0.1]
26142	NO	[0.8, 0.1, 0.1, 0.0]
43784	OFP	[0.1, 0.2, 0.7, 0.0]
1634	NO	[0.8, 0.0, 0.0, 0.2]
28564	NO	[0.5, 0.1, 0.3, 0.1]
50260	NOM	[0.3, 0.5, 0.2, 0.0]
1475	NO	[0.8, 0.0, 0.2, 0.0]
18918	NO	[0.8, 0.1, 0.0, 0.1]
27779	NO	[1.0, 0.0, 0.0, 0.0]
21264	NO	[0.5, 0.0, 0.5, 0.0]
15175	OFP	[0.5, 0.0, 0.5, 0.0]
44940	NO	[0.8, 0.1, 0.1, 0.0]
23497	NO	[1.0, 0.0, 0.0, 0.0]
4430	NO	[0.5, 0.2, 0.2, 0.1]
2158	NO	[0.9, 0.1, 0.0, 0.0]
59023	NO	[1.0, 0.0, 0.0, 0.0]
40885	NO	[1.0, 0.0, 0.0, 0.0]
14228	NO	[1.0, 0.0, 0.0, 0.0]
25750	NO	[0.8, 0.0, 0.0, 0.2]
1869	NO	[0.9, 0.1, 0.0, 0.0]
56337	NO	[1.0, 0.0, 0.0, 0.0]
16464	NO	[0.8, 0.1, 0.0, 0.1]
6636	NO	[1.0, 0.0, 0.0, 0.0]
2937	NO	[1.0, 0.0, 0.0, 0.0]
44981	OFP	[0.0, 0.0, 1.0, 0.0]
30665	NO	[1.0, 0.0, 0.0, 0.0]
11831	NOM	[0.3, 0.7, 0.0, 0.0]
11709	NO	[0.8, 0.0, 0.2, 0.0]
13390	NO	[0.8, 0.1, 0.0, 0.1]
13909	NO	[1.0, 0.0, 0.0, 0.0]
52180	NO	[0.9, 0.0, 0.1, 0.0]
43322	OFP	[0.0, 0.0, 1.0, 0.0]
50576	NO	[1.0, 0.0, 0.0, 0.0]
3155	NO	[1.0, 0.0, 0.0, 0.0]
58430	NO	[0.8, 0.1, 0.0, 0.1]
1776	NO	[1.0, 0.0, 0.0, 0.0]
10554	NO	[1.0, 0.0, 0.0, 0.0]
15855	NO	[0.8, 0.2, 0.0, 0.0]
30367	NO	[0.9, 0.0, 0.0, 0.1]
6938	OFP	[0.3, 0.2, 0.5, 0.0]
9765	NO	[0.6, 0.1, 0.3, 0.0]
51458	NO	[0.8, 0.1, 0.1, 0.0]
29180	NO	[1.0, 0.0, 0.0, 0.0]
50462	NO	[1.0, 0.0, 0.0, 0.0]
9940	NO	[0.6, 0.1, 0.3, 0.0]
42907	NO	[1.0, 0.0, 0.0, 0.0]
16349	NO	[1.0, 0.0, 0.0, 0.0]
13239	NO	[1.0, 0.0, 0.0, 0.0]
7763	NO	[0.8, 0.1, 0.0, 0.1]
54215	NO	[0.6, 0.1, 0.2, 0.1]
16091	OFP	[0.0, 0.3, 0.7, 0.0]
13751	OFP	[0.1, 0.1, 0.8, 0.0]
55704	NO	[1.0, 0.0, 0.0, 0.0]
23918	NOM	[0.4, 0.6, 0.0, 0.0]
32945	NO	[1.0, 0.0, 0.0, 0.0]
3314	NO	[1.0, 0.0, 0.0, 0.0]
31079	OFP	[0.2, 0.2, 0.6, 0.0]
19608	NO	[0.9, 0.1, 0.0, 0.0]
52934	NO	[0.7, 0.0, 0.3, 0.0]
54604	OFP	[0.4, 0.1, 0.5, 0.0]
32975	NO	[1.0, 0.0, 0.0, 0.0]
8117	NO	[1.0, 0.0, 0.0, 0.0]
35010	OFP	[0.1, 0.3, 0.6, 0.0]
4635	OFP	[0.1, 0.2, 0.7, 0.0]
33435	NO	[0.7, 0.2, 0.0, 0.1]
9243	NO	[1.0, 0.0, 0.0, 0.0]
16971	OFP	[0.0, 0.2, 0.7, 0.1]
8085	NO	[0.7, 0.0, 0.3, 0.0]
36830	OFP	[0.3, 0.1, 0.6, 0.0]
53200	NO	[1.0, 0.0, 0.0, 0.0]
46773	NO	[1.0, 0.0, 0.0, 0.0]
45209	NO	[1.0, 0.0, 0.0, 0.0]
16705	NO	[1.0, 0.0, 0.0, 0.0]
10451	OFP	[0.0, 0.0, 1.0, 0.0]
35934	NO	[1.0, 0.0, 0.0, 0.0]
59565	NO	[0.8, 0.0, 0.2, 0.0]
22373	NO	[0.6, 0.2, 0.0, 0.2]
45573	OFP	[0.1, 0.3, 0.6, 0.0]
10136	NO	[0.9, 0.0, 0.1, 0.0]
37829	NO	[1.0, 0.0, 0.0, 0.0]
298	NOM	[0.1, 0.9, 0.0, 0.0]
10122	NOM	[0.2, 0.8, 0.0, 0.0]
41391	NO	[1.0, 0.0, 0.0, 0.0]
14585	NOM	[0.3, 0.5, 0.2, 0.0]
8931	OFP	[0.4, 0.1, 0.5, 0.0]
40802	NOM	[0.1, 0.9, 0.0, 0.0]
39392	NO	[0.9, 0.1, 0.0, 0.0]
45930	NO	[0.6, 0.2, 0.2, 0.0]
28444	OFG	[0.3, 0.2, 0.0, 0.5]
13136	NO	[0.8, 0.1, 0.1, 0.0]
46812	NO	[1.0, 0.0, 0.0, 0.0]
54736	NO	[0.9, 0.1, 0.0, 0.0]
5922	NO	[0.8, 0.0, 0.2, 0.0]
51154	OFP	[0.1, 0.4, 0.5, 0.0]
8159	NO	[1.0, 0.0, 0.0, 0.0]
58704	OFP	[0.5, 0.0, 0.5, 0.0]
16704	NO	[1.0, 0.0, 0.0, 0.0]
9084	NO	[1.0, 0.0, 0.0, 0.0]
29666	OFP	[0.3, 0.2, 0.5, 0.0]
18372	NO	[0.5, 0.0, 0.5, 0.0]
53130	NO	[0.6, 0.0, 0.4, 0.0]
54912	NO	[1.0, 0.0, 0.0, 0.0]
32967	NOM	[0.2, 0.7, 0.1, 0.0]
10035	OFP	[0.3, 0.2, 0.5, 0.0]
30374	NO	[0.8, 0.1, 0.1, 0.0]
25743	NOM	[0.3, 0.6, 0.0, 0.1]
49500	OFP	[0.0, 0.0, 1.0, 0.0]
47404	NO	[0.8, 0.0, 0.1, 0.1]
19114	OFP	[0.3, 0.0, 0.7, 0.0]
48922	NO	[1.0, 0.0, 0.0, 0.0]
47276	NO	[1.0, 0.0, 0.0, 0.0]
7814	NO	[0.9, 0.0, 0.1, 0.0]
22357	NO	[1.0, 0.0, 0.0, 0.0]
34191	NO	[1.0, 0.0, 0.0, 0.0]
49128	NO	[1.0, 0.0, 0.0, 0.0]
7904	NO	[0.7, 0.0, 0.3, 0.0]
26589	NOM	[0.3, 0.7, 0.0, 0.0]
31757	NO	[0.8, 0.2, 0.0, 0.0]
57200	NO	[1.0, 0.0, 0.0, 0.0]
19914	NO	[0.6, 0.1, 0.2, 0.1]
58747	NO	[0.6, 0.0, 0.4, 0.0]
14288	NO	[1.0, 0.0, 0.0, 0.0]
47218	OFP	[0.3, 0.2, 0.5, 0.0]
38091	NOM	[0.3, 0.7, 0.0, 0.0]
51945	NO	[0.7, 0.0, 0.3, 0.0]
25253	NOM	[0.0, 0.6, 0.4, 0.0]
53485	NO	[1.0, 0.0, 0.0, 0.0]
37471	NO	[1.0, 0.0, 0.0, 0.0]
59961	NO	[1.0, 0.0, 0.0, 0.0]
5296	OFG	[0.0, 0.5, 0.0, 0.5]
44988	NO	[1.0, 0.0, 0.0, 0.0]
20549	NO	[0.8, 0.0, 0.0, 0.2]
53083	OFP	[0.0, 0.4, 0.6, 0.0]
39689	NO	[0.7, 0.0, 0.3, 0.0]
43934	NOM	[0.1, 0.9, 0.0, 0.0]
28815	NO	[1.0, 0.0, 0.0, 0.0]
21937	NO	[0.5, 0.2, 0.3, 0.0]
12436	NO	[1.0, 0.0, 0.0, 0.0]
32407	NO	[0.8, 0.0, 0.2, 0.0]
35456	OFP	[0.0, 0.0, 0.7, 0.3]
45123	OFG	[0.1, 0.0, 0.2, 0.7]
12283	NO	[0.6, 0.0, 0.4, 0.0]
14952	NO	[1.0, 0.0, 0.0, 0.0]
35426	NOM	[0.1, 0.7, 0.2, 0.0]
13080	NO	[0.8, 0.1, 0.1, 0.0]
28372	OFP	[0.2, 0.1, 0.7, 0.0]
5466	OFP	[0.1, 0.1, 0.8, 0.0]
22957	NO	[0.7, 0.0, 0.3, 0.0]
46480	NO	[1.0, 0.0, 0.0, 0.0]
21542	NO	[1.0, 0.0, 0.0, 0.0]
57863	NO	[1.0, 0.0, 0.0, 0.0]
52720	NO	[0.9, 0.1, 0.0, 0.0]
50146	NO	[1.0, 0.0, 0.0, 0.0]
28661	NO	[0.9, 0.1, 0.0, 0.0]
3920	NOM	[0.2, 0.7, 0.1, 0.0]
55408	NO	[0.6, 0.0, 0.3, 0.1]
14335	NO	[0.8, 0.0, 0.2, 0.0]
46289	NO	[1.0, 0.0, 0.0, 0.0]
56850	NO	[1.0, 0.0, 0.0, 0.0]
15993	NO	[0.6, 0.1, 0.3, 0.0]
34654	NO	[0.5, 0.2, 0.3, 0.0]
48039	NO	[1.0, 0.0, 0.0, 0.0]
3802	NO	[1.0, 0.0, 0.0, 0.0]
19058	NO	[1.0, 0.0, 0.0, 0.0]
20950	NO	[1.0, 0.0, 0.0, 0.0]
43007	OFP	[0.1, 0.0, 0.9, 0.0]
5158	OFP	[0.3, 0.0, 0.7, 0.0]
38086	NO	[1.0, 0.0, 0.0, 0.0]
42143	NO	[0.5, 0.3, 0.2, 0.0]
37835	NO	[1.0, 0.0, 0.0, 0.0]
56669	NO	[0.9, 0.0, 0.1, 0.0]
40081	NO	[0.8, 0.0, 0.2, 0.0]
31782	NO	[0.8, 0.1, 0.1, 0.0]
48535	NO	[0.9, 0.1, 0.0, 0.0]
21105	NOM	[0.1, 0.9, 0.0, 0.0]
41574	NO	[0.5, 0.3, 0.2, 0.0]
41884	OFP	[0.4, 0.0, 0.6, 0.0]
11856	NOM	[0.5, 0.5, 0.0, 0.0]
53208	NO	[1.0, 0.0, 0.0, 0.0]
43478	NO	[0.9, 0.0, 0.1, 0.0]
883	NOM	[0.2, 0.7, 0.0, 0.1]
25431	NO	[1.0, 0.0, 0.0, 0.0]
41230	OFP	[0.4, 0.1, 0.5, 0.0]
36084	NO	[0.9, 0.0, 0.0, 0.1]
47595	NOM	[0.3, 0.6, 0.0, 0.1]
43137	OFP	[0.2, 0.0, 0.7, 0.1]
21545	OFG	[0.0, 0.3, 0.0, 0.7]
27297	NO	[0.9, 0.1, 0.0, 0.0]
46534	OFP	[0.4, 0.0, 0.6, 0.0]
57494	NO	[1.0, 0.0, 0.0, 0.0]
56187	NOM	[0.1, 0.6, 0.3, 0.0]
36589	NO	[1.0, 0.0, 0.0, 0.0]
56921	NO	[1.0, 0.0, 0.0, 0.0]
19779	NO	[0.5, 0.0, 0.5, 0.0]
54851	NO	[1.0, 0.0, 0.0, 0.0]
32903	NO	[1.0, 0.0, 0.0, 0.0]
21437	NO	[0.9, 0.1, 0.0, 0.0]
25850	NOM	[0.1, 0.9, 0.0, 0.0]
5443	OFP	[0.1, 0.2, 0.7, 0.0]
1649	NO	[1.0, 0.0, 0.0, 0.0]
35579	NO	[0.8, 0.2, 0.0, 0.0]
25174	NO	[1.0, 0.0, 0.0, 0.0]
55209	NO	[1.0, 0.0, 0.0, 0.0]
487	NO	[1.0, 0.0, 0.0, 0.0]
36836	NOM	[0.1, 0.7, 0.2, 0.0]
20312	NO	[0.7, 0.2, 0.1, 0.0]
1866	NO	[0.8, 0.0, 0.2, 0.0]
28979	NO	[0.9, 0.1, 0.0, 0.0]
58317	NO	[1.0, 0.0, 0.0, 0.0]
14701	OFP	[0.4, 0.0, 0.6, 0.0]
14578	NO	[1.0, 0.0, 0.0, 0.0]
2345	NO	[1.0, 0.0, 0.0, 0.0]
28006	OFP	[0.0, 0.1, 0.9, 0.0]
27765	NOM	[0.3, 0.7, 0.0, 0.0]
16581	NO	[1.0, 0.0, 0.0, 0.0]
4247	NOM	[0.1, 0.9, 0.0, 0.0]
30679	NOM	[0.4, 0.6, 0.0, 0.0]
20067	OFP	[0.2, 0.3, 0.5, 0.0]
45282	NO	[1.0, 0.0, 0.0, 0.0]
26955	NO	[0.5, 0.1, 0.1, 0.3]
13479	NO	[1.0, 0.0, 0.0, 0.0]
27379	NOM	[0.4444444444444444, 0.5555555555555556, 0.0, 0.0]
45354	NOM	[0.2, 0.8, 0.0, 0.0]
30058	NO	[1.0, 0.0, 0.0, 0.0]
34352	NOM	[0.2, 0.6, 0.2, 0.0]
2249	NO	[1.0, 0.0, 0.0, 0.0]
40580	NO	[1.0, 0.0, 0.0, 0.0]
51535	NO	[1.0, 0.0, 0.0, 0.0]
6063	NO	[1.0, 0.0, 0.0, 0.0]
12989	NO	[0.5, 0.0, 0.5, 0.0]
19396	NO	[0.9, 0.1, 0.0, 0.0]
3916	NO	[0.5, 0.5, 0.0, 0.0]
39010	NO	[1.0, 0.0, 0.0, 0.0]
37891	NO	[1.0, 0.0, 0.0, 0.0]
3646	NO	[0.9, 0.1, 0.0, 0.0]
3258	NO	[0.9, 0.1, 0.0, 0.0]
53459	OFP	[0.0, 0.3, 0.7, 0.0]
6886	OFP	[0.0, 0.2, 0.8, 0.0]
46949	NO	[0.7, 0.0, 0.0, 0.3]
32475	NO	[0.7, 0.1, 0.2, 0.0]
28601	NO	[0.7, 0.0, 0.3, 0.0]
50651	NO	[1.0, 0.0, 0.0, 0.0]
53557	NO	[1.0, 0.0, 0.0, 0.0]
1896	NO	[1.0, 0.0, 0.0, 0.0]
22619	NO	[1.0, 0.0, 0.0, 0.0]
56947	NO	[0.9, 0.1, 0.0, 0.0]
37301	NO	[0.5, 0.3, 0.2, 0.0]
6054	NO	[0.6, 0.0, 0.4, 0.0]
18593	NO	[1.0, 0.0, 0.0, 0.0]
37817	NO	[0.7, 0.0, 0.3, 0.0]
33925	NOM	[0.1, 0.9, 0.0, 0.0]
25805	NO	[0.6, 0.1, 0.3, 0.0]
3281	NOM	[0.5, 0.5, 0.0, 0.0]
18043	NO	[1.0, 0.0, 0.0, 0.0]
29278	NO	[0.6, 0.3, 0.1, 0.0]
11594	OFP	[0.2, 0.1, 0.7, 0.0]
43506	NO	[0.5, 0.4, 0.1, 0.0]
29482	NO	[0.7, 0.1, 0.2, 0.0]
21484	OFP	[0.4, 0.1, 0.5, 0.0]
35442	NO	[1.0, 0.0, 0.0, 0.0]
6846	NO	[0.8, 0.1, 0.0, 0.1]
39424	NO	[1.0, 0.0, 0.0, 0.0]
44665	NOM	[0.2, 0.8, 0.0, 0.0]
57157	NO	[1.0, 0.0, 0.0, 0.0]
37825	NO	[1.0, 0.0, 0.0, 0.0]
42444	OFP	[0.3, 0.1, 0.5, 0.1]
44573	NO	[1.0, 0.0, 0.0, 0.0]
59558	NO	[0.7, 0.2, 0.0, 0.1]
12190	OFP	[0.0, 0.0, 1.0, 0.0]
49840	OFP	[0.0, 0.1, 0.9, 0.0]
58989	OFP	[0.0, 0.0, 1.0, 0.0]
27480	OFP	[0.1, 0.2, 0.7, 0.0]
31023	NO	[0.8, 0.2, 0.0, 0.0]
13172	NO	[0.6, 0.1, 0.3, 0.0]
1322	NO	[1.0, 0.0, 0.0, 0.0]
14645	NOM	[0.0, 1.0, 0.0, 0.0]
11705	NO	[0.9, 0.0, 0.0, 0.1]
6720	NO	[0.8, 0.0, 0.2, 0.0]
52345	NOM	[0.4, 0.6, 0.0, 0.0]
36142	NOM	[0.1, 0.6, 0.3, 0.0]
49722	NO	[1.0, 0.0, 0.0, 0.0]
17934	NO	[1.0, 0.0, 0.0, 0.0]
21476	OFP	[0.1, 0.1, 0.8, 0.0]
9906	OFP	[0.1, 0.3, 0.6, 0.0]
11338	NO	[0.8, 0.1, 0.1, 0.0]
14491	NO	[1.0, 0.0, 0.0, 0.0]
17476	OFP	[0.4, 0.0, 0.6, 0.0]
88	NO	[1.0, 0.0, 0.0, 0.0]
18441	NO	[1.0, 0.0, 0.0, 0.0]
7165	NO	[1.0, 0.0, 0.0, 0.0]
42404	NO	[0.8, 0.0, 0.2, 0.0]
42876	NO	[0.9, 0.0, 0.0, 0.1]
54288	OFP	[0.0, 0.0, 1.0, 0.0]
28176	NO	[1.0, 0.0, 0.0, 0.0]
28288	NOM	[0.4, 0.6, 0.0, 0.0]
49093	NO	[1.0, 0.0, 0.0, 0.0]
6996	NO	[1.0, 0.0, 0.0, 0.0]
10683	NOM	[0.1, 0.9, 0.0, 0.0]
28854	NO	[0.5, 0.0, 0.5, 0.0]
52631	NO	[1.0, 0.0, 0.0, 0.0]
11764	NO	[0.6, 0.2, 0.1, 0.1]
19007	OFP	[0.3, 0.1, 0.6, 0.0]
38938	NO	[1.0, 0.0, 0.0, 0.0]
11334	NO	[1.0, 0.0, 0.0, 0.0]
10648	NO	[0.9, 0.1, 0.0, 0.0]
35566	NO	[0.6, 0.0, 0.0, 0.4]
15065	NO	[0.7, 0.1, 0.2, 0.0]
9478	NO	[1.0, 0.0, 0.0, 0.0]
653	OFP	[0.0, 0.1, 0.9, 0.0]
54171	OFP	[0.1, 0.4, 0.5, 0.0]
7311	OFP	[0.4, 0.0, 0.6, 0.0]
50473	NOM	[0.5, 0.5, 0.0, 0.0]
217	NO	[0.8888888888888888, 0.0, 0.0, 0.1111111111111111]
53356	NO	[1.0, 0.0, 0.0, 0.0]
24258	NO	[0.6, 0.0, 0.2, 0.2]
44043	NO	[0.6, 0.1, 0.3, 0.0]
1750	NO	[0.8, 0.0, 0.2, 0.0]
45458	NO	[1.0, 0.0, 0.0, 0.0]
48240	OFP	[0.3, 0.0, 0.7, 0.0]
48459	NO	[1.0, 0.0, 0.0, 0.0]
42222	NO	[1.0, 0.0, 0.0, 0.0]
27233	NO	[0.7, 0.2, 0.1, 0.0]
46205	NO	[1.0, 0.0, 0.0, 0.0]
8450	OFP	[0.1, 0.3, 0.6, 0.0]
23714	NO	[1.0, 0.0, 0.0, 0.0]
34435	NO	[0.9, 0.1, 0.0, 0.0]
56746	NO	[1.0, 0.0, 0.0, 0.0]
50259	NO	[0.6, 0.3, 0.0, 0.1]
19886	OFP	[0.2, 0.1, 0.7, 0.0]
40780	NO	[0.9, 0.1, 0.0, 0.0]
9558	NO	[0.8, 0.2, 0.0, 0.0]
23330	NO	[1.0, 0.0, 0.0, 0.0]
10347	OFP	[0.3, 0.1, 0.6, 0.0]
16058	NOM	[0.2, 0.8, 0.0, 0.0]
26377	NO	[0.7, 0.3, 0.0, 0.0]
33973	OFP	[0.3, 0.2, 0.5, 0.0]
53197	NO	[0.7, 0.2, 0.1, 0.0]
55599	NOM	[0.4, 0.6, 0.0, 0.0]
48875	NO	[0.6, 0.1, 0.3, 0.0]
3793	NOM	[0.3, 0.7, 0.0, 0.0]
9656	NO	[0.8, 0.0, 0.2, 0.0]
28820	NO	[1.0, 0.0, 0.0, 0.0]
14394	NO	[0.5, 0.1, 0.4, 0.0]
9769	OFP	[0.4, 0.1, 0.5, 0.0]
39344	NO	[1.0, 0.0, 0.0, 0.0]
55144	NO	[0.9, 0.0, 0.1, 0.0]
5557	NO	[0.7, 0.1, 0.2, 0.0]
41705	NO	[1.0, 0.0, 0.0, 0.0]
7682	NO	[1.0, 0.0, 0.0, 0.0]
13269	NO	[1.0, 0.0, 0.0, 0.0]
